region,confirmed,deceased,vaccinated,population
World,266215281,5273301,4334032397,7866962328
United States,49969856,808763,235698738,333770690
India,34641561,473537,801417375,1399346585
Brazil,22143091,615674,164589731,214713983
United Kingdom,10464389,145605,51094640,68394590
Russia,9833749,282462,68029825,146226276
Turkey,8901117,77830,56371961,85632738
France,7917264,119535,52031795,65479543
Germany,6179839,103604,59855421,84166070
Iran,6134465,130200,57385036,85525133
Argentina,5340676,116646,36993929,45787050
Italy,5109082,134195,47389331,60334978
Colombia,5081064,128780,38371156,51656000
Indonesia,4257685,143867,142432347,277646675
Mexico,3901263,295202,78268776,130863794
Poland,3684671,85700,20968528,37787471
Ukraine,3501955,88519,13753064,43358808
South Africa,3031694,89966,17820083,60374425
Philippines,2835154,49499,40517967,111659609
Netherlands,2751954,19668,13250117,17188954
Malaysia,2658772,30614,25846528,32957005
Czechia,2247067,33768,6695100,10737322
Peru,2243415,201379,22542649,33626370
Thailand,2145241,20964,48525815,70049814
Iraq,2084346,23885,7545538,41507449
Belgium,1827467,27167,8845136,11661562
Canada,1807703,29768,30815618,38213959
Romania,1786036,57099,7766483,19054546
Chile,1772547,38501,16903203,19350159
Japan,1727942,18364,99926796,125924001
Bangladesh,1577443,28001,64284262,167028441
Israel,1346243,8204,6371876,9326000
Vietnam,1309092,26260,73155299,98587244
Pakistan,1287161,28777,81806077,227000663
Serbia,1263663,11917,3272681,8687151
Sweden,1212145,15136,7611128,10189069
Austria,1198478,12796,6403918,9079684
Portugal,1166787,18537,9053901,10154287
Hungary,1157568,35611,6159926,9625351
Switzerland,1039730,11612,5855591,8744872
Jordan,975956,11761,4174421,10347534
Kazakhstan,975782,12785,8778757,19096827
Greece,966221,18595,7147103,10350402
Cuba,963090,8309,10190888,11316753
Morocco,950591,14788,24517118,37534135
Georgia,867071,12407,1219086,3978242
Nepal,822830,11543,9879648,29883259
United Arab Emirates,742376,2149,9801529,10060722
Slovakia,732495,14900,2651783,5463415
Tunisia,718443,25401,6172013,11994909
Bulgaria,703160,28852,1786530,6873795
Lebanon,678801,8775,1949439,6781829
Belarus,663813,5162,3618830,9444889
Croatia,631037,11218,2206995,4069138
Guatemala,619852,15986,6090684,18387588
Azerbaijan,596388,7967,5098541,10269472
Ireland,594250,5707,3863948,5016408
Sri Lanka,567682,14461,15943166,21541305
Costa Rica,567383,7312,3887480,5160438
Saudi Arabia,549912,8844,24684104,35586345
Bolivia,543390,19222,5109553,11899933
Ecuador,526870,33250,13796237,18024776
Myanmar,524407,19141,16485315,54929940
Denmark,509111,2946,4580168,5821296
Lithuania,480310,6862,1878638,2668067
Panama,479053,7374,3011405,4411539
South Korea,477358,3893,42678737,51332130
Paraguay,463372,16478,3395632,7257410
Venezuela,434918,5193,16415684,28320978
Palestine,431863,4549,1910794,5270224
Slovenia,430839,5317,1234641,2079346
Kuwait,413491,2465,3304574,4360563
Dominican Republic,408516,4212,6890583,11002990
Uruguay,400925,6134,2751833,3490901
Mongolia,383682,2017,2261533,3353503
Honduras,378251,10413,4395843,10129041
Libya,374989,5493,1710472,7004447
Ethiopia,372215,6800,8540831,119016473
Moldova,366256,9217,948882,4020586
Egypt,363162,20727,25927931,105083343
Armenia,340818,7691,799403,2971144
Oman,304612,4113,3310409,5291453
Norway,285494,1093,4245806,5481685
Bahrain,277831,1394,1190410,1785655
Bosnia and Herzegovina,277228,12687,833233,3251696
Singapore,269211,759,5071148,5915947
Latvia,257559,4277,1282981,1856432
Kenya,255437,5335,4938175,55457570
Qatar,244223,611,2360308,2807805
Estonia,225294,1825,830815,1327808
Australia,219124,2056,20106757,25921603
North Macedonia,217301,7641,885888,2083252
Nigeria,214622,2980,6524582,213411145
Algeria,211469,6103,6740064,44978907
Zambia,210312,3667,806611,19116436
Albania,201730,3110,1080490,2873314
Botswana,195302,2419,921104,2419242
Uzbekistan,194556,1421,17687886,34160382
Finland,191226,1360,4303144,5552999
Kyrgyzstan,183649,2760,1137694,6677539
Montenegro,158466,2329,277220,628179
Afghanistan,157499,7316,4397449,40176440
Mozambique,151924,1941,6572756,32501238
Zimbabwe,139046,4710,3875546,15171224
Cyprus,136832,601,625138,1219892
Ghana,130920,1209,2651463,31996497
Namibia,129796,3574,366698,2606447
Uganda,127655,3254,3838439,47795279
Cambodia,120272,2963,14159169,17048693
El Salvador,119803,3786,4439034,6532881
Cameroon,107148,1804,777338,27486303
Rwanda,100414,1343,5987745,13409173
China,99203,4636,1225000000,1439323776
Maldives,92211,254,395879,554105
Jamaica,91469,2410,682950,2979601
Luxembourg,90774,880,454957,640487
Laos,79833,207,3744740,7425998
Trinidad and Tobago,75134,2262,648920,1405952
Senegal,74024,1886,1321923,17371795
Angola,65259,1735,6774984,34320243
Malawi,61981,2307,1189293,19833401
Ivory Coast,61824,706,,27307933
Reunion,61188,384,,904423
DR Congo,58319,1107,,93434058
Guadeloupe,55284,748,,400222
Fiji,52562,697,651320,905708
Kosovo,51144,1332,858915,
Suriname,51009,1171,258498,594126
Syria,48619,2777,890837,18105754
Eswatini,47504,1248,271668,1177288
French Polynesia,46323,636,,283224
French Guiana,46142,328,,309699
Martinique,45501,718,,374850
Madagascar,44800,972,532674,28704072
Sudan,43489,3164,1154253,45306625
