region,confirmed,deceased,active,recovered,vaccinated,population
World,274531620,5366413,24202737,244570685,4468924554,7869624311
Afghanistan,157745,7333,5275,145137,4397449,40207656
Albania,205549,3161,5333,197055,1111494,2873203
Algeria,214330,6180,60702,147448,6875003,45007069
Andorra,20549,134,2130,18285,56628,77446
Angola,65868,1738,387,63743,7246240,34356727
Antigua and Barbuda,4198,117,42,4039,61921,99114
Argentina,5386453,116899,38821,5230733,37580758,45801766
Armenia,343506,7893,7563,328050,869750,2971340
Austria,1247399,13462,47338,1186599,6535083,9081506
Azerbaijan,609397,8182,15931,585284,5134947,10272715
The Bahamas,22995,713,,21683,,398734
Bahrain,278410,1394,478,276538,1194664,1787768
Bangladesh,1580872,28047,7422,1545403,87546674,167086674
Barbados,27169,256,1439,25474,154565,287889
Belarus,683172,5371,3167,674634,4064247,9444779
Belize,31246,589,547,30110,229107,408166
Benin,24907,161,41,24705,1363471,12586372
Bhutan,2656,3,15,2638,589482,784021
Bolivia,562638,19408,33349,509881,5328739,11905590
Bosnia and Herzegovina,284272,13121,78933,192218,833233,3250975
Botswana,199864,2425,4987,192452,1125993,2420931
Brunei,15386,98,205,15083,405092,443600
Bulgaria,724337,30047,95828,598462,1904143,6871948
Burkina Faso,16672,296,450,15926,442769,21739227
Myanmar,528101,19213,3785,505103,16849172,54942874
Burundi,21422,38,20611,773,4010,12407144
Cape Verde,38573,351,116,38106,301215,564809
Cambodia,120410,3003,625,116782,14216413,17056913
Cameroon,107662,1836,519,105307,806176,27509845
Central African Republic,11961,101,5001,6859,446712,4952371
Chad,5701,181,646,4874,285922,17113185
Hong Kong,12519,213,124,12182,4827771,7585862
Macao,77,,,77,490067,662264
Comoros,4649,151,,4407,282378,896635
Congo,19179,365,6393,12421,734721,5716235
DR Congo,64448,1126,,50930,,93531207
Costa Rica,568538,7340,1544,559654,3922190,5162088
Ivory Coast,62077,706,,61088,,27331204
Croatia,673427,11930,23935,637562,2237974,4068244
Cuba,964035,8314,401,955320,10235340,11316508
Cyprus,144713,619,19724,124370,636379,1220203
Czechia,2397246,35149,226770,2135327,6764791,10738025
Denmark,609062,3067,102977,503018,4702853,5822018
Djibouti,13528,189,35,13304,108945,1008983
Dominica,6286,42,370,5874,29200,72247
Dominican Republic,411449,4223,1419,405807,6919616,11006851
Ecuador,536129,33593,58656,443880,14016690,18034298
Egypt,374411,21315,41459,311637,30505670,105152003
El Salvador,121484,3805,12186,105493,4465139,6534041
Equatorial Guinea,13618,175,36,13407,249215,1470169
Eritrea,7753,68,,7542,,3618110
Estonia,231694,1882,12843,216969,836486,1327839
Eswatini,59714,1260,10462,47992,320460,1177714
Ethiopia,375810,6861,18125,350824,9042289,119117925
Fiji,52623,697,730,51196,659250,905938
Finland,213318,1454,165864,46000,4322617,5553303
France,8577376,121418,957328,7498630,52430750,65484659
Gabon,37743,285,1970,35488,392898,2302360
The Gambia,10051,342,,9647,,2515679
Georgia,906965,13024,39311,854630,1297825,3977971
Ghana,131911,1255,973,129683,2651463,32019582
Greece,1031239,19799,59783,951657,7311563,10348603
Grenada,5919,200,42,5677,40930,113285
Guatemala,623449,16065,746,606638,6345369,18399375
Guinea,30814,388,650,29776,1687180,13652338
